23	GO:0005575|GO:0005622|GO:0005623|GO:0005737|GO:0005768|GO:0005886|GO:0005887|GO:0012505|GO:0016020|GO:0016021|GO:0031224|GO:0031226|GO:0031410|GO:0031982|GO:0043226|GO:0043227|GO:0043229|GO:0044424|GO:0044425|GO:0044444|GO:0044459|GO:0044464|GO:0071944|GO:0097708
24	GO:0005575|GO:0005576|GO:0005622|GO:0005623|GO:0005634|GO:0005654|GO:0005737|GO:0005739|GO:0016604|GO:0016607|GO:0031410|GO:0031974|GO:0031981|GO:0031982|GO:0043226|GO:0043227|GO:0043229|GO:0043231|GO:0043233|GO:0044422|GO:0044424|GO:0044428|GO:0044444|GO:0044446|GO:0044451|GO:0044464|GO:0048471|GO:0070013|GO:0097708
25	GO:0005575|GO:0005576|GO:0005615|GO:0005622|GO:0005623|GO:0005634|GO:0005737|GO:0030424|GO:0033267|GO:0036477|GO:0042995|GO:0043005|GO:0043025|GO:0043195|GO:0043226|GO:0043227|GO:0043229|GO:0043231|GO:0043679|GO:0044297|GO:0044306|GO:0044421|GO:0044424|GO:0044456|GO:0044463|GO:0044464|GO:0045202|GO:0097458|GO:0098793|GO:0120025|GO:0120038|GO:0150034
26	GO:0005575|GO:0005622|GO:0005623|GO:0005737|GO:0005829|GO:0005886|GO:0016020|GO:0044424|GO:0044444|GO:0044464|GO:0071944
27	GO:0005575|GO:0005622|GO:0005623|GO:0005737|GO:0005829|GO:0044424|GO:0044444|GO:0044464
28	GO:0005575|GO:0005576|GO:0005622|GO:0005623|GO:0005737|GO:0005739|GO:0005829|GO:0032991|GO:0043226|GO:0043227|GO:0043229|GO:0043231|GO:0044424|GO:0044444|GO:0044445|GO:0044464|GO:0061702|GO:0072557|GO:0072558|GO:0072559|GO:0097169|GO:0097179|GO:1904090
29	GO:0005575|GO:0005576|GO:0005615|GO:0005623|GO:0030424|GO:0030425|GO:0033267|GO:0036477|GO:0042995|GO:0043005|GO:0043025|GO:0043194|GO:0043195|GO:0043203|GO:0043204|GO:0043679|GO:0044297|GO:0044304|GO:0044306|GO:0044421|GO:0044456|GO:0044463|GO:0044464|GO:0045202|GO:0097447|GO:0097458|GO:0098793|GO:0120025|GO:0120038|GO:0150034
30	GO:0005575|GO:0005576|GO:0005615|GO:0005622|GO:0005623|GO:0044421|GO:0044464
31	GO:0005575|GO:0005576|GO:0005615|GO:0044421
32	GO:0005575|GO:0005576|GO:0005615|GO:0005622|GO:0005623|GO:0044421|GO:0044464
33	GO:0005575|GO:0005576|GO:0005615|GO:0005622|GO:0005623|GO:0044421|GO:0044464
34	GO:0005575|GO:0005576|GO:0005615|GO:0044421
35	GO:0005575|GO:0005576|GO:0005615|GO:0005622|GO:0005623|GO:0044421|GO:0044464
36	GO:0005575|GO:0005576|GO:0005615|GO:0005622|GO:0005623|GO:0005737|GO:0005829|GO:0044421|GO:0044424|GO:0044444|GO:0044464
37	GO:0005575|GO:0005576|GO:0005615|GO:0044421
38	GO:0005575|GO:0005576|GO:0005615|GO:0005623|GO:0044421
39	GO:0005575|GO:0005576|GO:0005615|GO:0005623|GO:0044421
40	GO:0005575|GO:0005623|GO:0005886|GO:0005887|GO:0009897|GO:0009986|GO:0016020|GO:0016021|GO:0031224|GO:0031226|GO:0044425|GO:0044459|GO:0044464|GO:0071944|GO:0098552
41	GO:0005575|GO:0005622|GO:0005623|GO:0005737|GO:0005829|GO:0005886|GO:0005887|GO:0009897|GO:0009986|GO:0016020|GO:0016021|GO:0030425|GO:0031224|GO:0031226|GO:0036477|GO:0042995|GO:0043005|GO:0043025|GO:0043204|GO:0044297|GO:0044424|GO:0044425|GO:0044444|GO:0044459|GO:0044463|GO:0044464|GO:0048471|GO:0071944|GO:0097447|GO:0097458|GO:0098552|GO:0120025|GO:0120038
42	GO:0005575|GO:0005623|GO:0005886|GO:0005887|GO:0009986|GO:0016020|GO:0016021|GO:0031224|GO:0031226|GO:0044425|GO:0044459|GO:0044464|GO:0071944
43	GO:0001772|GO:0005575|GO:0005623|GO:0005886|GO:0005887|GO:0005911|GO:0009897|GO:0009986|GO:0016020|GO:0016021|GO:0030054|GO:0030425|GO:0031224|GO:0031226|GO:0032991|GO:0036477|GO:0042101|GO:0042105|GO:0042995|GO:0043005|GO:0043197|GO:0043235|GO:0044297|GO:0044309|GO:0044425|GO:0044456|GO:0044459|GO:0044463|GO:0044464|GO:0045202|GO:0071944|GO:0097447|GO:0097458|GO:0098552|GO:0098794|GO:0098796|GO:0098797|GO:0098802|GO:0120025|GO:0120038
